group_num	term	label
257	103881-9	LT CT Mastoid WO contrast
257	24696-7	LT CT Facial bones
257	24848-4	LT CT Orbit - bilateral
257	24877-3	LT CT Petrous part of temporal bone
257	30584-7	LT CT Internal auditory canal WO contrast
257	30587-0	LT CT Orbit - bilateral WO contrast
257	30588-8	LT CT Sinuses
257	30589-6	LT CT Petrous part of temporal bone WO contrast
257	30591-2	LT CT Pituitary and Sella turcica WO contrast
257	30802-3	LT CT Maxillofacial region WO contrast
257	35957-0	LT CT Internal auditory canal - left
257	35958-8	LT CT Internal auditory canal
257	36047-9	LT CT Mandible
257	36049-5	LT CT Maxilla and Mandible
257	36050-3	LT CT Maxilla
257	36055-2	LT CT Posterior fossa
257	36512-2	LT CT Mandible WO contrast
257	36517-1	LT CT Posterior fossa WO contrast
257	36529-6	LT CT Sinuses WO contrast
257	36773-0	LT CT Temporal bone
257	36866-2	LT CT Temporal bone WO contrast
257	36867-0	LT CT Temporal bone - left WO contrast
257	36868-8	LT CT Temporal bone - right WO contrast
257	36932-2	LT CT Pituitary and Sella turcica
257	37226-8	LT CT Temporomandibular joint
257	37283-9	LT CT Temporomandibular joint WO contrast
257	37495-9	LT CT Skull base
257	38767-0	LT CT Internal auditory canal - right
257	41807-9	LT CT Orbit
257	41808-7	LT CT Maxillofacial region
257	44112-1	LT CT Skull base WO contrast
257	46298-6	LT CT Mastoid - bilateral
257	46325-7	LT CT Internal auditory canal W reduced contrast volume IV
257	46326-5	LT CT Maxillofacial region W reduced contrast volume IV
257	46331-5	LT CT Orbit WO contrast
257	72249-6	LT CT Facial bones WO contrast
257	79095-6	LT CT Teeth
257	83302-0	LT CT Head and Temporal bone WO contrast
257	83306-1	LT CT Head and Maxillofacial region WO contrast
257	83307-9	LT CT Head and Mandible WO contrast
257	83309-5	LT CT Sinuses and Mandible WO contrast
257	86966-9	LT CT Salivary gland WO contrast
257	86988-3	LT CT Orbit and Face WO contrast
257	86990-9	LT CT Head and Orbit - bilateral WO contrast
257	86992-5	LT CT Head and Sinuses WO contrast
257	87898-3	LT CT Teeth.maxilla WO contrast
257	87899-1	LT CT Teeth.mandible WO contrast
257	87903-1	LT CT Temporal bone - bilateral WO contrast
257	87904-9	LT CT Temporomandibular joint - bilateral WO contrast
257	87912-2	LT CT Sinuses and Orbit WO contrast
257	98074-8	LT CT Internal auditory canal - bilateral W contrast
258	103874-4	LT CT Chest and Abdomen
258	35960-4	LT CT Clavicle
258	35969-5	LT CT Esophagus
258	36054-5	LT CT Brachial plexus
258	36071-9	LT CT Sternum
258	36534-6	LT CT Sternum WO contrast
258	37225-0	LT CT Sternoclavicular Joint
258	37282-1	LT CT Sternoclavicular Joint WO contrast
258	42276-6	LT CT Chest and Abdomen WO contrast
258	43445-6	LT CT Pulmonary system
258	69117-0	LT CT Scapula
258	69118-8	LT CT Scapula WO contrast
258	79067-5	LT CT Airway WO contrast
258	82682-6	LT CT Clavicle - left WO contrast
258	82683-4	LT CT Clavicle - right WO contrast
258	82687-5	LT CT Clavicle WO contrast
258	82699-0	LT CT Ribs - left WO contrast
258	82701-4	LT CT Ribs - right WO contrast
258	82705-5	LT CT Scapula - left WO contrast
258	82706-3	LT CT Scapula - right WO contrast
258	83292-3	LT CT Scapula W contrast
258	87871-0	LT CT Clavicle - left
258	87872-8	LT CT Clavicle - right
258	87876-9	LT CT Thymus gland
258	89834-6	LT CT Clavicle - bilateral WO contrast
258	89836-1	LT CT Brachial plexus WO contrast
259	103878-5	LT CT Forearm - bilateral WO contrast
259	35997-6	LT CT Forearm
259	35998-4	LT CT Forearm - bilateral
259	35999-2	LT CT Forearm - left
259	36000-8	LT CT Forearm - right
259	36472-9	LT CT Forearm WO contrast
259	36473-7	LT CT Forearm - left WO contrast
259	36475-2	LT CT Forearm - right WO contrast
260	103885-0	LT MG Breast - left Screening for implant
260	103886-8	LT MG Breast - right Screening for implant
260	48492-3	LT MG Breast - bilateral Screening for implant
261	103887-6	LT MG Breast duct - bilateral Single view W contrast intra duct
261	49509-3	LT MG Breast duct - right Single view W contrast intra duct
261	49510-1	LT MG Breast duct - left Single view W contrast intra duct
261	69268-1	LT MG Breast duct Single view W contrast intra duct
262	103889-2	LT MG stereo Guidance for localization of Breast - bilateral
262	103890-0	LT MG stereo Guidance for localization of Breast - left
262	103891-8	LT MG stereo Guidance for localization of Breast - right
263	103892-6	LT DBT Breast screening
263	72140-7	LT DBT Breast - right screening
263	72141-5	LT DBT Breast - left screening
263	72142-3	LT DBT Breast - bilateral screening
264	103895-9	LT US for transplanted kidney left
264	103896-7	LT US for transplanted kidney right
264	103897-5	LT US for transplanted kidney bilateral
265	103898-3	LT US.doppler for transplanted kidney left
265	103899-1	LT US.doppler for transplanted kidney right
265	103900-7	LT US.doppler for transplanted kidney bilateral
265	80863-4	LT US.doppler for transplanted kidney
266	103901-5	LT US Abdomen and Pelvis
266	103913-0	LT US Groin - left
266	103914-8	LT US Groin - right
266	106280-1	LT US Seminal vesicle
266	106286-8	LT US Sacroiliac Joint
266	24542-3	LT US Anus
266	24548-0	LT US Appendix
266	24719-7	LT US Groin
266	25002-7	LT US Scrotum and testicle
266	26271-7	LT US Scrotum and Testicle - bilateral
266	26272-5	LT US Scrotum and Testicle - left
266	26273-3	LT US Scrotum and Testicle - right
266	38053-5	LT US Sacrum
266	38140-0	LT US Penis
266	39416-3	LT US Genitourinary tract
266	80875-8	LT US Penis soft tissue
266	80898-0	LT US Groin and Pseudoaneurysm
267	103903-1	LT US Kidney - left limited
267	103904-9	LT US Kidney - right limited
267	38035-2	LT US Kidney limited
268	103907-2	LT US Breast specimen - left
268	103908-0	LT US Breast specimen - right
269	103910-6	LT US Chest - left
269	103911-4	LT US Chest - right
269	103917-1	LT US Axilla - bilateral
269	106276-9	LT US Ribs - left
269	106278-5	LT US Scapula - left
269	106279-3	LT US Scapula - right
269	106312-2	LT US Clavicle - left
269	106313-0	LT US Clavicle - right
269	38044-4	LT US Mediastinum
269	44163-4	LT US Brachial plexus
269	72528-3	LT US Axilla - right
269	72529-1	LT US Axilla - left
269	80852-7	LT US Axilla
270	103912-2	LT US Extremity vein - bilateral
270	42144-6	LT US Extremity vein - right
270	42145-3	LT US Extremity vein - left
271	103915-5	LT US Vein - left
271	103916-3	LT US Vein - right
271	39030-2	LT US Vein - bilateral
271	39036-9	LT US Vein
271	39040-1	LT US AV fistula
271	39453-6	LT US Tendon
271	46375-2	LT US Artery
272	103918-9	LT US.doppler Thoracic and abdominal aorta limited
272	103921-3	LT US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava limited
272	103927-0	LT US.doppler Lower extremity artery - left limited
272	103928-8	LT US.doppler Lower extremity artery - right limited
272	38042-8	LT US.doppler Lower extremity artery limited
272	38143-4	LT US.doppler Upper extremity artery limited
272	39044-3	LT US.doppler Head vessels limited
272	39424-7	LT US.doppler Extremity vessels limited
272	39430-4	LT US.doppler Lower extremity vessels - left limited
272	39436-1	LT US.doppler Renal vessels limited
272	39441-1	LT US.doppler Lower extremity vessels - right limited
272	39524-4	LT US.doppler Vein limited
272	42150-3	LT US.doppler Iliac graft limited
272	42152-9	LT US.doppler Pelvis vessels limited
272	43572-7	LT US.doppler Abdominal vessels limited
272	43776-4	LT US.doppler Iliac artery limited
272	46301-8	LT US.doppler Extremity vein - bilateral limited
272	46302-6	LT US.doppler Upper extremity artery - bilateral limited
272	46303-4	LT US.doppler Upper extremity vessels limited
272	69282-2	LT US.doppler Unspecified body region limited
272	80850-1	LT US.doppler Carotid arteries limited
272	80856-8	LT US.doppler Head limited
272	80873-3	LT US.doppler Penis limited
272	80897-2	LT US.doppler Aorta and Iliac artery - bilateral limited
272	94680-6	LT US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels limited
273	103922-1	LT US Lower extremity vein - left limited
273	103923-9	LT US Lower extremity vein - right limited
274	103924-7	LT US Lower extremity artery - left limited
274	103925-4	LT US Lower extremity artery - right limited
274	41812-9	LT US Lower extremity artery limited
275	103944-5	LT CT Neck+Chest+Abdomen WO contrast
275	24835-1	LT CT Nasopharynx and Neck
275	30585-4	LT CT Nasopharynx and Neck WO contrast
275	36511-4	LT CT Larynx WO contrast
275	37223-5	LT CT Parotid gland
275	37280-5	LT CT Parotid gland WO contrast
275	82133-0	LT CT Face and Neck WO contrast
275	82692-5	LT CT Head and Neck WO contrast
275	83308-7	LT CT Neck and Superior mediastinum WO contrast
275	87877-7	LT CT Neck and Chest WO contrast
275	87921-3	LT CT Trachea WO contrast
276	103970-0	LT Cardiology Rehabilitation Note
276	103972-6	LT Cardiology Outpatient Rehabilitation Note
277	104128-4	LT XR Salivary gland Single view for salivary calculus
277	104129-2	LT XR Salivary gland - bilateral Single view for salivary calculus
277	104130-0	LT XR Salivary gland - right Single view for salivary calculus
277	104131-8	LT XR Salivary gland - left Single view for salivary calculus
278	104215-9	LT MG stereo Breast - left Views post radioactive seed localization
278	104216-7	LT MG stereo Breast - right Views post radioactive seed localization
279	104582-2	LT Pediatrics Telephone encounter Consult note
279	68821-8	LT Pediatrics Hospital Consult note
279	78726-7	LT Pediatrics Consult note
280	104584-8	LT Gynecologic oncology Telephone encounter Consult note
280	80396-5	LT Gynecologic oncology Consult note
281	104585-5	LT Outpatient procedure note
281	28570-0	LT Procedure note
281	78316-7	LT Emergency department procedure note
281	96351-2	LT Urgent care center procedure note
282	104589-7	LT Heart failure Telehealth Note
282	90773-3	LT Heart failure Telephone encounter Note
282	97711-6	LT Heart failure Outpatient Note
283	104590-5	LT Medical Aid in Dying Telehealth Note
283	94322-5	LT Medical Aid in Dying Telephone encounter Note
284	104867-7	LT PET+CT Heart metabolic
284	86976-8	LT PET+CT Brain metabolic
285	104869-3	LT CT Brain during surgery
285	104870-1	LT CT Cervical spine during surgery
286	104937-8	LT CT Spine [Mass/volume] Multisection for bone density
286	104939-4	LT CT Hip [Mass/volume] Multisection for bone density
286	104943-6	LT CT Femur [Mass/volume] Multisection for bone density
287	104940-2	LT CT Hip [Mass/Area] Multisection for bone density
287	104944-4	LT CT Femur [Mass/Area] Multisection for bone density
288	104941-0	LT CT Hip [T-score] Multisection for bone density
288	104945-1	LT CT Femur [T-score] Multisection for bone density
289	104942-8	LT CT Hip [Z-score] Multisection for bone density
289	104946-9	LT CT Femur [Z-score] Multisection for bone density
290	105128-3	LT MR Liver and Biliary ducts and Pancreas
290	30669-6	LT MR Liver WO contrast
290	36046-1	LT MR Liver
290	43448-0	LT MR Liver WO and W ferumoxides IV
291	105129-1	LT MR Liver and Biliary ducts and Pancreas W contrast IV
291	105159-8	LT MR Lumbosacral plexus W contrast IV
291	24589-4	LT MR Brain W contrast IV
291	24841-9	LT MR Neck W contrast IV
291	24852-6	LT MR Orbit - bilateral W contrast IV
291	24915-1	LT MR Sinuses W contrast IV
291	24938-3	LT MR Cervical spine W contrast IV
291	24982-1	LT MR Thoracic spine W contrast IV
291	30678-7	LT MR Lumbar spine W contrast IV
291	36113-9	LT MR Kidney W contrast IV
291	36115-4	LT MR Ankle Arthrogram
291	36116-2	LT MR Ankle - left Arthrogram
291	36117-0	LT MR Ankle - right Arthrogram
291	36118-8	LT MR Elbow - left Arthrogram
291	36119-6	LT MR Elbow - right Arthrogram
291	36120-4	LT MR Hip Arthrogram
291	36121-2	LT MR Hip - left Arthrogram
291	36122-0	LT MR Hip - right Arthrogram
291	36125-3	LT MR Knee Arthrogram
291	36126-1	LT MR Knee - left Arthrogram
291	36127-9	LT MR Knee - right Arthrogram
291	36129-5	LT MR Shoulder Arthrogram
291	36130-3	LT MR Shoulder - left Arthrogram
291	36132-9	LT MR Shoulder - right Arthrogram
291	36134-5	LT MR Abdomen W contrast IV
291	36136-0	LT MR Ankle W contrast IV
291	36138-6	LT MR Ankle - left W contrast IV
291	36140-2	LT MR Ankle - right W contrast IV
291	36148-5	LT MR Face W contrast IV
291	36149-3	LT MR Breast W contrast IV
291	36150-1	LT MR Breast - bilateral W contrast IV
291	36151-9	LT MR Breast - left W contrast IV
291	36152-7	LT MR Breast - right W contrast IV
291	36155-0	LT MR Internal auditory canal W contrast IV
291	36156-8	LT MR Chest W contrast IV
291	36158-4	LT MR Elbow W contrast IV
291	36160-0	LT MR Elbow - left W contrast IV
291	36162-6	LT MR Elbow - right W contrast IV
291	36163-4	LT MR Lower extremity - bilateral W contrast IV
291	36165-9	LT MR Lower extremity - left W contrast IV
291	36167-5	LT MR Lower extremity - right W contrast IV
291	36171-7	LT MR Upper extremity - right W contrast IV
291	36173-3	LT MR Thigh W contrast IV
291	36175-8	LT MR Thigh - left W contrast IV
291	36177-4	LT MR Thigh - right W contrast IV
291	36179-0	LT MR Foot W contrast IV
291	36180-8	LT MR Foot - bilateral W contrast IV
291	36182-4	LT MR Foot - left W contrast IV
291	36184-0	LT MR Foot - right W contrast IV
291	36186-5	LT MR Forearm W contrast IV
291	36188-1	LT MR Forearm - left W contrast IV
291	36190-7	LT MR Forearm - right W contrast IV
291	36192-3	LT MR Hand W contrast IV
291	36194-9	LT MR Hand - left W contrast IV
291	36196-4	LT MR Hand - right W contrast IV
291	36197-2	LT MR Heart W contrast IV
291	36199-8	LT MR Hip W contrast IV
291	36202-0	LT MR Hip - bilateral W contrast IV
291	36204-6	LT MR Hip - left W contrast IV
291	36206-1	LT MR Hip - right W contrast IV
291	36208-7	LT MR Upper arm W contrast IV
291	36210-3	LT MR Upper arm - left W contrast IV
291	36212-9	LT MR Upper arm - right W contrast IV
291	36213-7	LT MR Lower Extremity Joint W contrast IV
291	36214-5	LT MR Lower extremity joint - left W contrast IV
291	36215-2	LT MR Lower extremity joint - right W contrast IV
291	36216-0	LT MR Upper extremity.joint W contrast IV
291	36218-6	LT MR Sacroiliac Joint W contrast IV
291	36219-4	LT MR Kidney - bilateral W contrast IV
291	36220-2	LT MR Kidney - left W contrast IV
291	36221-0	LT MR Kidney - right W contrast IV
291	36223-6	LT MR Knee W contrast IV
291	36224-4	LT MR Knee - bilateral W contrast IV
291	36226-9	LT MR Knee - left W contrast IV
291	36228-5	LT MR Knee - right W contrast IV
291	36230-1	LT MR Larynx W contrast IV
291	36231-9	LT MR Liver W contrast IV
291	36233-5	LT MR Nasopharynx W contrast IV
291	36236-8	LT MR Pancreas W contrast IV
291	36237-6	LT MR Pelvis W contrast IV
291	36238-4	LT MR Pituitary and Sella turcica W contrast IV
291	36239-2	LT MR Brachial plexus W contrast IV
291	36240-0	LT MR Brachial plexus - left W contrast IV
291	36241-8	LT MR Brachial plexus - right W contrast IV
291	36243-4	LT MR Posterior fossa W contrast IV
291	36244-2	LT MR Prostate W contrast IV
291	36246-7	LT MR Sacrum W contrast IV
291	36247-5	LT MR Sacrum and Coccyx W contrast IV
291	36248-3	LT MR Scapula - left W contrast IV
291	36249-1	LT MR Scapula - right W contrast IV
291	36251-7	LT MR Shoulder W contrast IV
291	36254-1	LT MR Shoulder - right W contrast IV
291	36259-0	LT MR Lower leg W contrast IV
291	36261-6	LT MR Lower leg - left W contrast IV
291	36263-2	LT MR Lower leg - right W contrast IV
291	36812-6	LT MR Joint Arthrogram
291	36817-5	LT MR Upper extremity joint - bilateral W contrast IV
291	36818-3	LT MR Upper extremity joint - left W contrast IV
291	36819-1	LT MR Upper extremity joint - right W contrast IV
291	36820-9	LT MR Orbit W contrast IV
291	36821-7	LT MR Orbit - left W contrast IV
291	36822-5	LT MR Orbit - right W contrast IV
291	36942-1	LT MR Chest and Abdomen W contrast IV
291	37215-1	LT MR Brain and Larynx W contrast IV
291	37239-1	LT MR Brain and Internal auditory canal W contrast IV
291	37241-7	LT MR Parotid gland W contrast IV
291	37244-1	LT MR Temporomandibular joint W contrast IV
291	37245-8	LT MR Temporomandibular joint - bilateral W contrast IV
291	37247-4	LT MR Temporomandibular joint - left W contrast IV
291	37249-0	LT MR Temporomandibular joint - right W contrast IV
291	37253-2	LT MR Soft tissue W contrast IV
291	37444-7	LT MR Wrist Arthrogram
291	37445-4	LT MR Wrist - left Arthrogram
291	37446-2	LT MR Wrist - right Arthrogram
291	37448-8	LT MR Wrist W contrast IV
291	37449-6	LT MR Wrist - bilateral W contrast IV
291	37451-2	LT MR Wrist - left W contrast IV
291	37453-8	LT MR Wrist - right W contrast IV
291	38061-8	LT MR Spine Cervical and Spine Thoracic and Spine Lumbar and Sacrum W contrast IV
291	38829-8	LT MR Upper extremity - left W contrast IV
291	38830-6	LT MR Shoulder - left W contrast IV
291	39037-7	LT MR Upper extremity W contrast IV
291	39038-5	LT MR Orbit and Face W contrast IV
291	39293-6	LT MR Lower extremity W contrast IV
291	42391-3	LT MR Brain and Pituitary and Sella turcica W contrast IV
291	42694-0	LT MR Clavicle W contrast IV
291	42695-7	LT MR Lower leg - bilateral W contrast IV
291	43504-0	LT MR Axilla - left W contrast IV
291	43505-7	LT MR Axilla - right W contrast IV
291	44124-6	LT MR Adrenal gland W contrast IV
291	44125-3	LT MR Biliary ducts and Pancreatic duct W contrast IV
291	46319-0	LT MR Elbow Arthrogram
291	46321-6	LT MR Orbit and Face and Neck W contrast IV
291	46323-2	LT MR Breast - unilateral W contrast IV
291	48436-0	LT MR Lumbar spine W contrast IT
291	48439-4	LT MR Thoracic spine W contrast IT
291	48440-2	LT MR Skull base W contrast IV
291	48444-4	LT MR Brain.temporal W contrast IV
291	48447-7	LT MR Cervical spine W contrast IT
291	48456-8	LT MR Clavicle - right W contrast IV
291	48457-6	LT MR Clavicle - left W contrast IV
291	49507-7	LT MR Unspecified body region W contrast IV
291	69163-4	LT MR Ankle - bilateral W contrast IV
291	69170-9	LT MR Elbow - bilateral W contrast IV
291	69172-5	LT MR Femur - bilateral W contrast IV
291	69175-8	LT MR Forearm - bilateral W contrast IV
291	69178-2	LT MR Hand - bilateral W contrast IV
291	69182-4	LT MR Upper arm - bilateral W contrast IV
291	69184-0	LT MR Shoulder - bilateral W contrast IV
291	69187-3	LT MR Upper extremity - bilateral W contrast IV
291	69195-6	LT MR Finger W contrast IV
291	69205-3	LT MR Finger - left W contrast IV
291	69210-3	LT MR Lower Extremity Joint Arthrogram
291	69215-2	LT MR Finger - right W contrast IV
291	69221-0	LT MR Scrotum and testicle W contrast IV
291	72240-5	LT MR Toes - right W contrast IV
291	72243-9	LT MR Toes - left W contrast IV
291	80508-5	LT MR Upper extremity.joint Arthrogram
291	80513-5	LT MR Bone marrow W contrast IV
291	89284-4	LT MR Cervical and thoracic spine W contrast IV
291	91523-1	LT MR Chest and Abdomen and Pelvis W contrast IV
291	91561-1	LT MR Cervical and thoracic and lumbar spine W contrast IV
291	91591-8	LT MR Brain and Orbit - bilateral W contrast IV
291	91594-2	LT MR Sacrum and Sacroiliac joint W contrast IV
291	91715-3	LT MR Spine Lumbar and Sacrum W contrast IV
291	94088-2	LT MR Thoracic and lumbar spine WO and W contrast
291	97393-3	LT MR Abdomen and Pelvis W contrast IV
292	105132-5	LT MR perfusion Brain WO contrast
292	99703-1	LT MR perfusion Brain
293	105133-3	LT MRA Lower extremity vessels - left W contrast IV
293	105134-1	LT MRA Lower extremity vessels - right W contrast IV
293	105137-4	LT MRA Pelvis veins W contrast IV
293	105138-2	LT MRA Thoracic and abdominal aorta W contrast IV
293	105140-8	LT MRA Abdominal veins W contrast IV
293	105142-4	LT MRA Aortic arch W contrast IV
293	105144-0	LT MRA Head vessels and Neck vessels W contrast IV
293	105147-3	LT MRA Upper extremity vessels - left W contrast IV
293	105148-1	LT MRA Upper extremity vessels - right W contrast IV
293	105153-1	LT MRA Upper extremity vessels - bilateral W contrast IV
293	105171-3	LT MRA Heart W contrast IV
293	24533-2	LT MRA Abdominal vessels W contrast IV
293	24549-8	LT MRA Upper extremity vessels W contrast IV
293	24584-5	LT MRA Thoracic inlet vessels W contrast IV
293	24593-6	LT MRA Head vessels W contrast IV
293	24659-5	LT MRA Chest vessels W contrast IV
293	24820-3	LT MRA Lower leg vessels W contrast IV
293	24844-3	LT MRA Neck vessels W contrast IV
293	24873-2	LT MRA Pelvis vessels W contrast IV
293	25003-5	LT MRA Thigh vessels W contrast IV
293	25058-9	LT MRA Unspecified body region W contrast IV
293	26181-8	LT MRA Thoracic inlet vessels - bilateral W contrast IV
293	26182-6	LT MRA Thoracic inlet vessels - left W contrast IV
293	26183-4	LT MRA Thoracic inlet vessels - right W contrast IV
293	30887-4	LT MRA Renal vessels W contrast IV
293	36826-6	LT MRA Head veins W contrast IV
293	36827-4	LT MRA Neck veins W contrast IV
293	36832-4	LT MRA Orbit vessels W contrast IV
293	37254-0	LT MRA Circle of Willis W contrast IV
293	37500-6	LT MRA Spine vessels W contrast IV
293	37501-4	LT MRA Cervical spine vessels W contrast IV
293	37502-2	LT MRA Lumbar spine vessels W contrast IV
293	37503-0	LT MRA Thoracic spine vessels W contrast IV
293	43512-3	LT MRA Lower leg vessels - bilateral W contrast IV
293	44135-2	LT MRA Lower extremity vessels - bilateral W contrast IV
293	46324-0	LT MRA Lower extremity vessels W contrast IV
293	69162-6	LT MRA Pulmonary artery - bilateral W contrast IA
293	99609-0	LT MRA Thoracic Aorta W contrast IV
294	105135-8	LT MRA Lower extremity vessels - bilateral WO and W contrast IV
294	105145-7	LT MRA Head vessels and Neck vessels WO and W contrast IV
294	105152-3	LT MRA Upper extremity vessels - bilateral WO and W contrast IV
294	105172-1	LT MRA Heart WO and W contrast IV
294	36272-3	LT MRA Abdominal Aorta WO and W contrast IV
294	36274-9	LT MRA Thoracic Aorta WO and W contrast IV
294	36275-6	LT MRA Renal artery WO and W contrast IV
294	36414-1	LT MRA Portal vein WO and W contrast IV
294	36415-8	LT MRA Renal vein WO and W contrast IV
294	36416-6	LT MRA Lower extremity veins WO and W contrast IV
294	36417-4	LT MRA Upper extremity veins WO and W contrast IV
294	36420-8	LT MRA Chest vessels WO and W contrast IV
294	36422-4	LT MRA Upper extremity vessels WO and W contrast IV
294	36423-2	LT MRA Neck vessels WO and W contrast IV
294	36846-4	LT MRA Abdominal veins WO and W contrast IV
294	36847-2	LT MRA Head veins WO and W contrast IV
294	36848-0	LT MRA Chest veins WO and W contrast IV
294	36849-8	LT MRA Lower extremity veins - left WO and W contrast IV
294	36850-6	LT MRA Lower extremity veins - right WO and W contrast IV
294	36851-4	LT MRA Upper extremity veins - left WO and W contrast IV
294	36852-2	LT MRA Upper extremity veins - right WO and W contrast IV
294	36853-0	LT MRA Neck veins WO and W contrast IV
294	36854-8	LT MRA Pelvis veins WO and W contrast IV
294	36855-5	LT MRA Abdominal vessels WO and W contrast IV
294	36857-1	LT MRA Head vessels WO and W contrast IV
294	36858-9	LT MRA Lower extremity vessels - left WO and W contrast IV
294	36859-7	LT MRA Lower extremity vessels - right WO and W contrast IV
294	36860-5	LT MRA Upper extremity vessels - left WO and W contrast IV
294	36861-3	LT MRA Upper extremity vessels - right WO and W contrast IV
294	36862-1	LT MRA Knee vessels - right WO and W contrast IV
294	36863-9	LT MRA Pelvis vessels WO and W contrast IV
294	36864-7	LT MRA Shoulder vessels - left WO and W contrast IV
294	36865-4	LT MRA Shoulder vessels - right WO and W contrast IV
294	37277-1	LT MRA Spinal veins WO and W contrast IV
294	37505-5	LT MRA Spine vessels WO and W contrast IV
294	37506-3	LT MRA Cervical spine vessels WO and W contrast IV
294	37507-1	LT MRA Lumbar spine vessels WO and W contrast IV
294	37508-9	LT MRA Thoracic spine vessels WO and W contrast IV
294	38837-1	LT MRA Knee vessels - left WO and W contrast IV
294	43458-9	LT MRA Orbit vessels WO and W contrast IV
294	44128-7	LT MRA Lower extremity vessels WO and W contrast IV
294	44131-1	LT MRA Thoracic and abdominal aorta WO and W contrast IV
294	44134-5	LT MRA Renal vessels WO and W contrast IV
294	44231-9	LT MRA Superior mesenteric vessels WO and W contrast IV
294	46360-4	LT MRA Aortic arch WO and W contrast IV
294	69161-8	LT MRA Circle of Willis WO and W contrast IV
294	80502-8	LT MRA Abdominal Aorta and Bilateral Runoff Vessels WO and W contrast IV
294	99608-2	LT MRA Subclavian vessels - bilateral WO and W contrast IV
295	105136-6	LT MRA Lumbar spine vessels
295	105139-0	LT MRA Unspecified body region
295	105143-2	LT MRA Cervical spine vessels
295	105154-9	LT MRA Upper extremity vessels - bilateral
295	105155-6	LT MRA Lower extremity veins - bilateral
295	24660-3	LT MRA Thoracic Aorta
295	30856-9	LT MRA Head vessels
295	30858-5	LT MRA Head veins
295	30859-3	LT MRA Carotid vessels and Neck vessels
295	30861-9	LT MRA Aortic arch and Neck vessels
295	30862-7	LT MRA Chest vessels
295	30864-3	LT MRA Abdominal veins and IVC
295	30865-0	LT MRA Celiac vessels and Superior mesenteric Vessels
295	30867-6	LT MRA Pelvis vessels
295	30868-4	LT MRA Renal vessels
295	30871-8	LT MRA Femoral vessels
295	30872-6	LT MRA Foot vessels
295	30873-4	LT MRA Forearm vessels
295	30874-2	LT MRA Lower extremity vessels
295	30876-7	LT MRA Extremity veins
295	30888-2	LT MRA Tibioperoneal vessels
295	35946-3	LT MRA Thoracic and abdominal aorta
295	35951-3	LT MRA Aortic arch
295	35974-5	LT MRA Lower extremity vessels - bilateral
295	36009-9	LT MRA Heart
295	36077-6	LT MRA Portal vein
295	36078-4	LT MRA Renal vein
295	36079-2	LT MRA Lower extremity veins
295	36080-0	LT MRA Upper extremity veins
295	36081-8	LT MRA Vena cava
295	36082-6	LT MRA Inferior vena cava
295	36084-2	LT MRA Upper extremity vessels
295	36085-9	LT MRA Neck vessels
295	36432-3	LT MRA Abdominal Aorta WO contrast
295	36433-1	LT MRA Thoracic Aorta WO contrast
295	36450-5	LT MRA Lower extremity vessels - bilateral WO contrast
295	36543-7	LT MRA Portal vein WO contrast
295	36544-5	LT MRA Renal vein WO contrast
295	36547-8	LT MRA Chest vessels WO contrast
295	36548-6	LT MRA Upper extremity vessels WO contrast
295	36549-4	LT MRA Neck vessels WO contrast
295	36781-3	LT MRA Abdominal veins
295	36782-1	LT MRA Subclavian artery
295	36783-9	LT MRA Veins
295	36784-7	LT MRA Lower extremity veins - left
295	36785-4	LT MRA Lower extremity veins - right
295	36786-2	LT MRA Upper extremity veins - left
295	36787-0	LT MRA Upper extremity veins - right
295	36788-8	LT MRA Neck veins
295	36789-6	LT MRA Pelvis veins
295	36790-4	LT MRA Inferior vena cava + tributaries
295	36791-2	LT MRA Abdominal vessels
295	36792-0	LT MRA Adrenal vessels
295	36794-6	LT MRA Extremity vessels
295	36795-3	LT MRA Lower extremity vessels - left
295	36796-1	LT MRA Lower extremity vessels - right
295	36797-9	LT MRA Upper extremity vessels - left
295	36798-7	LT MRA Upper extremity vessels - right
295	36799-5	LT MRA Knee vessels
295	36800-1	LT MRA Knee vessels - left
295	36801-9	LT MRA Knee vessels - right
295	36802-7	LT MRA Orbit vessels
295	36803-5	LT MRA Pulmonary vessels
295	36804-3	LT MRA Renal vessels - bilateral
295	36805-0	LT MRA Shoulder vessels
295	36806-8	LT MRA Shoulder vessels - left
295	36807-6	LT MRA Shoulder vessels - right
295	36876-1	LT MRA Head veins WO contrast
295	36877-9	LT MRA Neck veins WO contrast
295	36878-7	LT MRA Abdominal vessels WO contrast
295	36879-5	LT MRA Ankle vessels WO contrast
295	36881-1	LT MRA Head vessels WO contrast
295	36882-9	LT MRA Lower extremity vessels - left WO contrast
295	36883-7	LT MRA Pelvis vessels WO contrast
295	37235-9	LT MRA Circle of Willis
295	37497-5	LT MRA Spine vessels
295	37510-5	LT MRA Spine vessels WO contrast
295	37511-3	LT MRA Cervical spine vessels WO contrast
295	37512-1	LT MRA Thoracic spine vessels WO contrast
295	37994-1	LT MRA Lumbar spine vessels WO contrast
295	38773-8	LT MRA Lower extremity vessels - right WO contrast
295	42304-6	LT MRA Head vessels and Neck vessels
295	43513-1	LT MRA Lower leg vessels - left
295	43514-9	LT MRA Thigh vessels - left WO contrast
