PartNumber	PartTypeName	PartName
LP150205-5	COMPONENT	Neisseria meningitidis serogroup DNA
LP150207-1	COMPONENT	Marburg virus Ab
LP15020-8	COMPONENT	Adenylate kinase
LP150209-7	COMPONENT	Promyelocytic leukemia protein distribution pattern
LP15021-6	COMPONENT	Aldolase
LP150216-2	COMPONENT	Exam findings communicated to clinician managing diabetic care
LP150218-8	COMPONENT	Housing status
LP150219-6	COMPONENT	Reason for intervention refusal
LP150220-4	COMPONENT	Reason medication not prescribed
LP150222-0	COMPONENT	Reason immunization not given
LP15022-4	COMPONENT	Beta+gamma tocopherol
LP150224-6	COMPONENT	Client status
LP15023-2	COMPONENT	C reactive protein
LP150237-8	COMPONENT	Parathyrin.intact intraoperative panel
LP150238-6	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR)
LP150239-4	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2
LP15024-0	COMPONENT	Cryofibrinogen
LP150240-2	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2
LP150241-0	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2+e1a2
LP150242-8	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) b3a2
LP150243-6	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) e1a2
LP150247-7	COMPONENT	t(9;22)(q34.1;q11)(ABL1,BCR) e19a2
LP15025-7	COMPONENT	Diphosphoglycerate mutase
LP150262-6	COMPONENT	Adherence to prescribed medication instructions
LP15026-5	COMPONENT	Enolase
LP150268-3	COMPONENT	t(15;17)(q24.1;q21.1)(PML,RARA)
LP150270-9	COMPONENT	I feel sad, down in the dumps or unhappy since I took my last screen
LP150271-7	COMPONENT	Nothing seems to give me much pleasure since I took my last screen
LP150272-5	COMPONENT	I feel tired - have no energy since I took my last screen
LP15027-3	COMPONENT	EPINEPHrine
LP150273-3	COMPONENT	I have had thoughts of suicide since I took my last screen
LP150274-1	COMPONENT	I have difficulty sleeping since I took my last screen
LP150275-8	COMPONENT	I have been sleeping too much since I took my last screen
LP150276-6	COMPONENT	I have lost some appetite since I took my last screen
LP150277-4	COMPONENT	I have been eating more since I took my last screen
LP150278-2	COMPONENT	I feel tense, anxious or can't sit still since I took my last screen
LP150279-0	COMPONENT	I feel worried or fearful since I took my last screen
LP150280-8	COMPONENT	I have attacks of anxiety or panic since I took my last screen
LP15028-1	COMPONENT	Glucose phosphate isomerase
LP150281-6	COMPONENT	I worry about dying or losing control since I took my last screen
LP150282-4	COMPONENT	I am nervous or shaky in social situations since I took my last screen
LP150283-2	COMPONENT	I have nightmares or flashbacks since I took my last screen
LP150284-0	COMPONENT	I am jumpy or feel startled easily since I took my last screen
LP150285-7	COMPONENT	I avoid places that strongly remind me of a bad experience since I took my last screen
LP150286-5	COMPONENT	I feel dull, numb, or detached since I took my last screen
LP150287-3	COMPONENT	I can't get certain things out of my mind since I took my last screen
LP150288-1	COMPONENT	I feel I must repeat certain acts or rituals since I took my last screen
LP150289-9	COMPONENT	I feel the need to check and recheck things since I took my last screen
LP150290-7	COMPONENT	I can't concentrate or focus since I took my last screen
LP150291-5	COMPONENT	M3 Checklist - follow-up
LP150292-3	COMPONENT	Pediatric blood pressure screening results
LP150293-1	COMPONENT	Pediatric blood pressure percentile
LP150294-9	COMPONENT	Feeling emotionally numb or being unable to have loving feelings for those close to you in the last Mo
LP150295-6	COMPONENT	Score interpretation
LP150296-4	COMPONENT	Reason immunization not
LP15029-9	COMPONENT	Glyceraldehyde 3 phosphate dehydrogenase
LP15030-7	COMPONENT	Immunoglobulin light chains.kappa
LP15031-5	COMPONENT	Immunoglobulin light chains.lambda
LP15032-3	COMPONENT	Ketamine
LP15033-1	COMPONENT	Lactate dehydrogenase
LP15036-4	COMPONENT	Melatonin
LP15037-2	COMPONENT	Monophosphoglyceromutase
LP15038-0	COMPONENT	Phosphofructokinase
LP15039-8	COMPONENT	Phosphoglycerate kinase
LP15040-6	COMPONENT	Reducing substances
LP15041-4	COMPONENT	Thromboxane beta 2
LP15042-2	COMPONENT	Thyroxine.albumin bound
LP15043-0	COMPONENT	Triosephosphate isomerase
LP15044-8	COMPONENT	Uroporphyrinogen III synthase
LP15045-5	COMPONENT	Bleeding time
LP15046-3	COMPONENT	Butalbital
LP15047-1	COMPONENT	Despropionylfentanyl
LP15048-9	COMPONENT	Norfentanyl
LP15049-7	COMPONENT	Hepatitis C virus 5-1-1
LP15050-5	COMPONENT	Hepatitis C virus superoxide dismutase Ab
LP15051-3	COMPONENT	HIV 2 gp80
LP15052-1	COMPONENT	HIV 2 p26
LP15053-9	COMPONENT	HIV 2 p53
LP15054-7	COMPONENT	HIV 2 p56
LP15055-4	COMPONENT	HIV 2 p68
LP15056-2	COMPONENT	Reagin
LP15057-0	COMPONENT	Neuronal nuclear
LP15058-8	COMPONENT	Smith extractable nuclear
LP15059-6	COMPONENT	Alpha chlordane
LP15060-4	COMPONENT	Dichlorodiphenyldichloroethylene
LP15061-2	COMPONENT	Dichlorodiphenyltrichloroethane
LP15062-0	COMPONENT	Dieldrin
LP15063-8	COMPONENT	Gamma chlordane
LP15064-6	COMPONENT	Lindane
LP15065-3	COMPONENT	Methoxychlor
LP15066-1	COMPONENT	cefoTEtan
LP15067-9	COMPONENT	L little e super little a
LP15068-7	COMPONENT	Tetrachloroethylene
LP15070-3	COMPONENT	Neutrophils.band form
LP15071-1	COMPONENT	Normoblasts.basophilic
LP15072-9	COMPONENT	Lymphocytes.variant
LP15073-7	COMPONENT	Mast cells
LP15074-5	COMPONENT	Megakaryocytes
LP15075-2	COMPONENT	Metamyelocytes
LP15076-0	COMPONENT	Myeloblasts
LP15077-8	COMPONENT	Myelocytes
LP15078-6	COMPONENT	Normoblasts.orthochromic
LP15079-4	COMPONENT	Plasma cells.immature
LP15080-2	COMPONENT	Normoblasts.polychromatophilic
LP15082-8	COMPONENT	Prolymphocytes
LP15083-6	COMPONENT	Promonocytes
LP15084-4	COMPONENT	Promyelocytes
LP15085-1	COMPONENT	Pronormoblasts
LP15088-5	COMPONENT	Lymphocytes B
LP15090-1	COMPONENT	Catecholamines
LP15094-3	COMPONENT	Myeloid cells
LP15096-8	COMPONENT	Homovanillate
LP15097-6	COMPONENT	5-Hydroxyindoleacetate
LP15098-4	COMPONENT	Potassium
LP15099-2	COMPONENT	Sodium
LP15100-8	COMPONENT	Blasts
LP15101-6	COMPONENT	Hematocrit
LP15102-4	COMPONENT	Alkalase
LP15103-2	COMPONENT	L little e super little b
LP15104-0	COMPONENT	Beta lactoglobulin
LP15105-7	COMPONENT	Bran wheat
LP15106-5	COMPONENT	Theobroma cacao
LP15107-3	COMPONENT	Carageenan
LP15108-1	COMPONENT	Cheese cream
LP15109-9	COMPONENT	Chinchilla
LP15110-7	COMPONENT	Chortoglyphus arcuatus
LP15111-5	COMPONENT	Cockatiel feather
LP15112-3	COMPONENT	Cupressus arizonica
LP15113-1	COMPONENT	Deer hair
LP15114-9	COMPONENT	Dematiaceae
LP15115-6	COMPONENT	Erythromycin
LP15116-4	COMPONENT	Ferret epithelium
LP15117-2	COMPONENT	Ficus carica
LP15118-0	COMPONENT	Sitophilus granarius
LP15119-8	COMPONENT	Helminthosporium sativum
LP15120-6	COMPONENT	Lactalbumin beta
LP15122-2	COMPONENT	Tilia cordata
LP15123-0	COMPONENT	Lupinus spp
LP15124-8	COMPONENT	Lycopodium spp
LP15125-5	COMPONENT	Macadamia spp
LP15126-3	COMPONENT	Trachurus japonicus
LP15127-1	COMPONENT	Maxatase
LP15128-9	COMPONENT	Setaria italica
LP15129-7	COMPONENT	Penicillium frequentans
LP15130-5	COMPONENT	Pepper cayenne
LP15131-3	COMPONENT	Pepper jalapeno
LP15133-9	COMPONENT	Pollachius virens
LP15134-7	COMPONENT	Protamine
LP15135-4	COMPONENT	Cucurbita pepo seed
LP15136-2	COMPONENT	Brassica napus pollen
LP15137-0	COMPONENT	Brassica rapa
LP15138-8	COMPONENT	Hoplostethus atlanticus
LP15139-6	COMPONENT	Sardine
LP15140-4	COMPONENT	Shark
LP15141-2	COMPONENT	Silver
LP15142-0	COMPONENT	Helix aspersa
LP15143-8	COMPONENT	Succinylcholine
LP15144-6	COMPONENT	Artemisia dracunculus
LP15145-3	COMPONENT	Trichosporon pullulans
LP15146-1	COMPONENT	Ulocladium chartarum
LP15148-7	COMPONENT	18-Hydroxydeoxycorticosterone
LP15149-5	COMPONENT	Atrial natriuretic factor
LP15150-3	COMPONENT	Carbon dioxide
LP15151-1	COMPONENT	Coproporphyrin
LP15152-9	COMPONENT	Corticotropin releasing hormone
LP15153-7	COMPONENT	Delta aminolevulinate
LP15154-5	COMPONENT	Hexaporphyrin
LP15155-2	COMPONENT	Immunoglobulin light chains
LP15156-0	COMPONENT	L little e super little x
LP15157-8	COMPONENT	Iodine
LP15158-6	COMPONENT	Phosphoethanolamine
LP15159-4	COMPONENT	Prorenin
LP15160-2	COMPONENT	Pyruvate kinase
LP15161-0	COMPONENT	Uroporphyrin
LP15162-8	COMPONENT	3-O-Methyldopa
LP15163-6	COMPONENT	Amobarbital
LP15164-4	COMPONENT	Astemizole
LP15165-1	COMPONENT	Bromocriptine
LP15166-9	COMPONENT	Brompheniramine
LP15167-7	COMPONENT	fentaNYL
LP15168-5	COMPONENT	Gemfibrozil
LP15169-3	COMPONENT	hydrALAZINE
LP15170-1	COMPONENT	Hydroxyalprazolam
LP15171-9	COMPONENT	hydrOXYzine
LP15172-7	COMPONENT	Hyoscyamine
LP15173-5	COMPONENT	Mercaptopurine
LP15174-3	COMPONENT	Morphine
LP15175-0	COMPONENT	Orphenadrine
LP15176-8	COMPONENT	oxyMORphone
LP15177-6	COMPONENT	Pergolide
LP15178-4	COMPONENT	Phenacemide
LP15179-2	COMPONENT	L little e
LP15180-0	COMPONENT	Phenylethylmalonate
LP15181-8	COMPONENT	Piroxicam
LP15182-6	COMPONENT	Tacrolimus
LP15183-4	COMPONENT	Haemophilus ducreyi
LP15185-9	COMPONENT	Salmonella paratyphi A
LP15186-7	COMPONENT	Salmonella paratyphi B
LP15187-5	COMPONENT	Streptococcus.beta-hemolytic
LP15188-3	COMPONENT	Streptococcus pyogenes
LP15189-1	COMPONENT	L little e NOS
LP15190-9	COMPONENT	Viral inclusion bodies
LP15191-7	COMPONENT	Erythrocyte mean corpuscular volume
LP15192-5	COMPONENT	Elliptocytes
LP15193-3	COMPONENT	Lymphocytes.large granular
LP15194-1	COMPONENT	Tubular cells
LP15196-6	COMPONENT	Bladder cells
LP15197-4	COMPONENT	Urine sediment comments
LP15198-2	COMPONENT	Cabot rings
LP15199-0	COMPONENT	Auer rods
LP15201-4	COMPONENT	L little u super little a
LP15202-2	COMPONENT	L little u super little a super little b
LP15203-0	COMPONENT	L little u super little b
LP15204-8	COMPONENT	L little u NOS
LP15205-5	COMPONENT	cefOXitin
LP15206-3	COMPONENT	little c
LP15207-1	COMPONENT	little e
LP15208-9	COMPONENT	little f
LP15209-7	COMPONENT	little i NOS
LP15210-5	COMPONENT	Cefpodoxime
LP15211-3	COMPONENT	little k
LP15212-1	COMPONENT	Little NOS
LP15213-9	COMPONENT	little p little k
LP15214-7	COMPONENT	little p
LP15215-4	COMPONENT	little s
LP15216-2	COMPONENT	LW
LP15217-0	COMPONENT	M little g
LP15218-8	COMPONENT	M
LP15219-6	COMPONENT	Cefprozil
LP15220-4	COMPONENT	M little i super little a
LP15221-2	COMPONENT	M NOS
LP15222-0	COMPONENT	M1
LP15223-8	COMPONENT	Major crossmatch
LP15226-1	COMPONENT	Major crossmatch.re-crossmatch
LP15227-9	COMPONENT	Minor crossmatch
LP15228-7	COMPONENT	N
LP15229-5	COMPONENT	N NOS
LP15230-3	COMPONENT	Cefsulodin
LP15231-1	COMPONENT	Unidentified
LP15232-9	COMPONENT	P
LP15233-7	COMPONENT	P NOS
LP15234-5	COMPONENT	P1
LP15235-2	COMPONENT	P2
LP15236-0	COMPONENT	Packed erythrocytes
LP15237-8	COMPONENT	Reverse ABO group
LP15238-6	COMPONENT	D
LP15239-4	COMPONENT	D NOS
LP15240-2	COMPONENT	Rh immune globulin dosage.vials recommended
LP15241-0	COMPONENT	S
LP15242-8	COMPONENT	cefTAZidime
LP15243-6	COMPONENT	Transfusion duration
LP15244-4	COMPONENT	Transfusion volume
LP15245-1	COMPONENT	U
LP15246-9	COMPONENT	V
LP15247-7	COMPONENT	Whole blood
LP15248-5	COMPONENT	X little g super little a
LP15249-3	COMPONENT	Y little t super little a
LP15250-1	COMPONENT	Y little t super little b
LP15251-9	COMPONENT	11-Deoxycorticosteroids
LP15252-7	COMPONENT	11-Deoxycortisol
LP15253-5	COMPONENT	Ceftizoxime
LP15254-3	COMPONENT	Ascorbate
LP15256-8	COMPONENT	Bromsulphthalein
LP15257-6	COMPONENT	Calcium
LP15260-0	COMPONENT	cefTRIAXone
LP15261-8	COMPONENT	Cefuroxime.parenteral
LP15262-6	COMPONENT	Cyanocobalamin
LP15263-4	COMPONENT	Galactose
LP15264-2	COMPONENT	Cephalexin
LP15265-9	COMPONENT	Amoxicillin
LP15266-7	COMPONENT	Cephaloglycin
LP15267-5	COMPONENT	Cephaloridine
LP15269-1	COMPONENT	Lactose
LP15270-9	COMPONENT	Cephalothin
LP15271-7	COMPONENT	Norepinephrine
LP15272-5	COMPONENT	Osmolality
LP15273-3	COMPONENT	Renin
LP15274-1	COMPONENT	Retinol
LP15275-8	COMPONENT	Triglyceride
LP15276-6	COMPONENT	Tuberculosis reaction wheal
LP15277-4	COMPONENT	Calcitriol
LP15278-2	COMPONENT	1,4-Alpha glucan branching enzyme
LP15279-0	COMPONENT	1-Methylhistidine
LP15280-8	COMPONENT	1-Naphthalene
LP15283-2	COMPONENT	11-Deoxycorticosterone
LP15284-0	COMPONENT	11-Hydroxyandrostenedione
LP15285-7	COMPONENT	11-Hydroxyandrosterone
LP15286-5	COMPONENT	11-Hydroxyetiocholanolone
LP15287-3	COMPONENT	11-Ketoandrosterone
LP15288-1	COMPONENT	11-Ketoetiocholanolone
LP15289-9	COMPONENT	11-Oxycorticosterone
LP15290-7	COMPONENT	17-Hydroxycorticosteroids
LP15291-5	COMPONENT	17-Hydroxyketosteroids
LP15292-3	COMPONENT	17-Ketogenic steroids
LP15293-1	COMPONENT	18-Hydroxycorticosterone
LP15294-9	COMPONENT	2,3-Diphosphoglycerate
LP15295-6	COMPONENT	Alpha hydroxybutyrate dehydrogenase
LP15296-4	COMPONENT	20-Hydroxyprogesterone
LP15297-2	COMPONENT	24r-Hydroxycalcidiol
LP15298-0	COMPONENT	Cephradine
LP15299-8	COMPONENT	3-Alpha-Androstanediol glucuronide
LP15301-2	COMPONENT	3-Hydroxyisovalerate
LP15302-0	COMPONENT	3-Methoxy-4-Hydroxyphenylglycol
LP15303-8	COMPONENT	3-Methylhistidine
LP15304-6	COMPONENT	4-Pyridoxate
LP15305-3	COMPONENT	5'-Nucleotidase
LP15306-1	COMPONENT	5,10-Methylenetetrahydrofolate reductase
LP15307-9	COMPONENT	5-Methyltetrahydrofolate homocysteine methyltransferase
LP15308-7	COMPONENT	6-Phosphogluconate dehydrogenase
LP15309-5	COMPONENT	8-Hydroxyamoxapine
LP15311-1	COMPONENT	Acetaldehyde
LP15312-9	COMPONENT	Acetoacetate
LP15313-7	COMPONENT	Acetonitrile
LP15314-5	COMPONENT	Acetylcholine
LP15315-2	COMPONENT	Acetylcholinesterase
LP15316-0	COMPONENT	Acid phosphatase
LP15317-8	COMPONENT	Acidity.titratable
LP15318-6	COMPONENT	Acylcarnitine
LP15319-4	COMPONENT	Acyl CoA dehydrogenase
LP15320-2	COMPONENT	Adenine
LP15321-0	COMPONENT	Chloramphenicol
LP15323-6	COMPONENT	Adenosine deaminase
LP15324-4	COMPONENT	Adenosine deaminase binding protein
LP15325-1	COMPONENT	Adenosine diphosphate
LP15326-9	COMPONENT	Adenosine monophosphate deaminase
LP15327-7	COMPONENT	Adenosine monophosphate.cyclic
LP15328-5	COMPONENT	Adenosine triphosphatase
LP15329-3	COMPONENT	Adenylosuccinate lyase
LP15330-1	COMPONENT	Adipate
LP15331-9	COMPONENT	Alanine
LP15332-7	COMPONENT	Alanine aminopeptidase
LP15333-5	COMPONENT	Alanine aminotransferase
LP15336-8	COMPONENT	Albumin.glycated
LP15337-6	COMPONENT	Chlortetracycline
LP15338-4	COMPONENT	Alcohol dehydrogenase
LP15339-2	COMPONENT	Aldosterone receptors
LP15341-8	COMPONENT	Aliphatic carboxylate C14-C26.absorption
LP15342-6	COMPONENT	Aliphatic carboxylate C14-C26.esters
LP15343-4	COMPONENT	Fatty acids.very long chain.C24:0
LP15345-9	COMPONENT	Fatty acids.very long chain.C26:0
LP15346-7	COMPONENT	Alkaline phosphatase
LP15347-5	COMPONENT	Alkaline phosphatase.bone
LP15348-3	COMPONENT	Alkaline phosphatase.intestinal
LP15349-1	COMPONENT	Alkaline phosphatase.liver
LP15350-9	COMPONENT	Alkaline phosphatase.regan
LP15351-7	COMPONENT	Alkaline phosphatase.renal
LP15352-5	COMPONENT	Alpha amino acid nitrogen
LP15353-3	COMPONENT	Alpha aminobutyrate
LP15354-1	COMPONENT	Alpha aminoadipate
LP15355-8	COMPONENT	Amylase
LP15356-6	COMPONENT	Cinoxacin
LP15357-4	COMPONENT	Amylase.P1
LP15358-2	COMPONENT	Amylase.P2
LP15359-0	COMPONENT	Amylase.P3
LP15360-8	COMPONENT	Amylase.pancreatic
LP15361-6	COMPONENT	Amylase.S1
LP15362-4	COMPONENT	Amylase.S2
LP15363-2	COMPONENT	Amylase.S3
LP15364-0	COMPONENT	Amylase.salivary
LP15365-7	COMPONENT	Alpha ketoglutarate
LP15366-5	COMPONENT	Alpha melanocyte stimulating hormone
LP15367-3	COMPONENT	Alpha naphthylesterase
LP15368-1	COMPONENT	Alpha thymosin
LP15369-9	COMPONENT	Alpha tocopherol
LP15371-5	COMPONENT	Alpha 1 antitrypsin.MM
LP15372-3	COMPONENT	Alpha 1 antitrypsin.MS
LP15373-1	COMPONENT	Alpha 1 antitrypsin.MZ
LP15374-9	COMPONENT	Alpha 1 antitrypsin.SS
LP15375-6	COMPONENT	Alpha 1 antitrypsin.SZ
LP15376-4	COMPONENT	Alpha 1 antitrypsin.ZZ
LP15377-2	COMPONENT	Alpha-2-Macroglobulin
LP15378-0	COMPONENT	Retinol binding protein
LP15380-6	COMPONENT	Ciprofloxacin
LP15381-4	COMPONENT	Ammonia nitrogen
LP15382-2	COMPONENT	Ammonium
LP15383-0	COMPONENT	Amylo-alpha-1,6-glucosidase
LP15384-8	COMPONENT	Amyloid associated protein
LP15385-5	COMPONENT	Androstanolone
LP15386-3	COMPONENT	Androsterone
LP15387-1	COMPONENT	Angiotensin converting enzyme
LP15388-9	COMPONENT	Angiotensin I
LP15389-7	COMPONENT	Angiotensin II
LP15390-5	COMPONENT	Angiotensinogen
LP15391-3	COMPONENT	Aniline
LP15392-1	COMPONENT	Anion gap 4
LP15393-9	COMPONENT	Anserine
LP15394-7	COMPONENT	Antithrombin
LP15395-4	COMPONENT	Apolipoprotein A-I
LP15396-2	COMPONENT	Apolipoprotein A-II
LP15397-0	COMPONENT	Apolipoprotein B-100
LP15398-8	COMPONENT	Apolipoprotein B-150
LP15399-6	COMPONENT	Apolipoprotein B-48
LP15400-2	COMPONENT	Apolipoprotein B
LP15401-0	COMPONENT	Apolipoprotein C-I
LP15402-8	COMPONENT	Apolipoprotein C-II
LP15403-6	COMPONENT	Apolipoprotein C-III
LP15404-4	COMPONENT	Apolipoprotein A-III
LP15405-1	COMPONENT	Apolipoprotein E2
LP15406-9	COMPONENT	Clarithromycin
LP15408-5	COMPONENT	Apolipoprotein LPA
LP15409-3	COMPONENT	Apolipoprotein LPQ
LP15410-1	COMPONENT	Apolipoprotein A
LP15411-9	COMPONENT	Apolipoprotein C
LP15412-7	COMPONENT	Apolipoprotein E
LP15413-5	COMPONENT	Aquacobalamin
LP15414-3	COMPONENT	Arachidonate
LP15415-0	COMPONENT	Arginase
LP15416-8	COMPONENT	Arginine
LP15417-6	COMPONENT	Argininosuccinate
LP15418-4	COMPONENT	Argininosuccinate lyase
LP15419-2	COMPONENT	Argininosuccinate synthase
LP15420-0	COMPONENT	Amoxicillin+Clavulanate
LP15421-8	COMPONENT	Clavulanate
LP15422-6	COMPONENT	Arylamidase
LP15423-4	COMPONENT	Arylsulfatase
LP15424-2	COMPONENT	Asparagine
LP15425-9	COMPONENT	Aspartate
LP15426-7	COMPONENT	Aspartate aminotransferase
LP15427-5	COMPONENT	Clindamycin
LP15428-3	COMPONENT	Base deficit
LP15429-1	COMPONENT	Base excess
LP15430-9	COMPONENT	Benzoate
LP15431-7	COMPONENT	Beta alanine
LP15432-5	COMPONENT	Beta aminoisobutyrate
LP15433-3	COMPONENT	Beta endorphin
LP15434-1	COMPONENT	Beta fructofuranosidase
LP15436-6	COMPONENT	Beta hydroxybutyrate
LP15437-4	COMPONENT	Beta hydroxybutyrate dehydrogenase
LP15438-2	COMPONENT	Beta lipotropin
LP15439-0	COMPONENT	Beta melanocyte stimulating hormone
LP15440-8	COMPONENT	Beta-N-acetylhexosaminidase.I
LP15441-6	COMPONENT	Bicarbonate
LP15442-4	COMPONENT	Cloxacillin
LP15443-2	COMPONENT	Bile
LP15444-0	COMPONENT	Bile acid
LP15445-7	COMPONENT	Bilirubin.glucuronidated+Bilirubin.albumin bound
LP15446-5	COMPONENT	Bilirubin.glucuronidated
LP15447-3	COMPONENT	Bilirubin.albumin bound
LP15448-1	COMPONENT	Bilirubin
LP15449-9	COMPONENT	Bilirubin.non-glucuronidated
LP15450-7	COMPONENT	Biopterin
LP15451-5	COMPONENT	Biotin
LP15452-3	COMPONENT	Biotinidase
LP15453-1	COMPONENT	Bradykinin
LP15454-9	COMPONENT	C peptide
LP15455-6	COMPONENT	Calcidiol
LP15456-4	COMPONENT	Cholecalciferol
LP15457-2	COMPONENT	Calciferol binding proteins
LP15458-0	COMPONENT	Calcium.ionized
LP15459-8	COMPONENT	Almecillin
LP15460-6	COMPONENT	Colistimethate
LP15461-4	COMPONENT	Cancer Ag 15-3
LP15463-0	COMPONENT	Cancer Ag 242
LP15464-8	COMPONENT	Cancer Ag 27-29
LP15465-5	COMPONENT	Cancer Ag 50
LP15466-3	COMPONENT	Cancer Ag 549
LP15467-1	COMPONENT	Cancer Ag 72-4
LP15468-9	COMPONENT	Carbamoyl phosphate synthetase
LP15469-7	COMPONENT	Carbamoyl phosphate synthetase(ammonia)
LP15470-5	COMPONENT	Carbon dioxide.dissolved
LP15472-1	COMPONENT	Carbonate
LP15473-9	COMPONENT	Carbonate dehydratase
LP15474-7	COMPONENT	Colistin
LP15475-4	COMPONENT	Carnitine acyltransferase
LP15476-2	COMPONENT	Carnosine
LP15477-0	COMPONENT	Carotene
LP15478-8	COMPONENT	Catalase
LP15479-6	COMPONENT	Ceruloplasmin
LP15480-4	COMPONENT	Chenodeoxycholate
LP15481-2	COMPONENT	Chenodeoxycholylglycine
LP15482-0	COMPONENT	Chenodeoxycholylglycine.conjugated
LP15483-8	COMPONENT	Chloride
LP15484-6	COMPONENT	Cyclacillin
LP15485-3	COMPONENT	Cholate
LP15486-1	COMPONENT	Cholecystokinin
LP15487-9	COMPONENT	Cholestanol
LP15488-7	COMPONENT	Cholesterol esters
LP15489-5	COMPONENT	Cholesterol.in HDL
LP15490-3	COMPONENT	Cholesterol.in IDL
LP15491-1	COMPONENT	Cholesterol.in LDL
LP15492-9	COMPONENT	Cholesterol.in VLDL
LP15493-7	COMPONENT	Cholesterol
LP15494-5	COMPONENT	Cholesterol.non-esterified
LP15496-0	COMPONENT	Cholylglycine
LP15497-8	COMPONENT	Cholylglycine.conjugated
LP15498-6	COMPONENT	Choriomammotropin
LP15499-4	COMPONENT	Choriogonadotropin.alpha subunit
LP15500-9	COMPONENT	Choriogonadotropin.intact
LP15501-7	COMPONENT	cycloSERINE
LP15502-5	COMPONENT	Chylomicrons
LP15503-3	COMPONENT	Chymopapain
LP15504-1	COMPONENT	Citrulline
LP15505-8	COMPONENT	Cobalamins
LP15506-6	COMPONENT	Collagenase
LP15507-4	COMPONENT	Coproporphyrinogen oxidase
LP15508-2	COMPONENT	Corticosterone
LP15509-0	COMPONENT	Creatine
LP15510-8	COMPONENT	Creatine kinase
LP15511-6	COMPONENT	Creatine kinase.BB
LP15512-4	COMPONENT	Creatine kinase.macromolecular
LP15513-2	COMPONENT	Creatine kinase.MB
LP15514-0	COMPONENT	Creatine kinase.MM
LP15515-7	COMPONENT	Creatine kinase.total
LP15516-5	COMPONENT	Cryoglobulin
LP15518-1	COMPONENT	Cobalamins.unsaturated binding capacity
LP15519-9	COMPONENT	Cystathionine
LP15520-7	COMPONENT	Cystine+Cysteine
LP15521-5	COMPONENT	Cysteine
LP15522-3	COMPONENT	Cystinyl aminopeptidase
LP15523-1	COMPONENT	Cytochrome B reductase
LP15524-9	COMPONENT	Cytochrome B5 reductase
LP15525-6	COMPONENT	Cytochrome C oxidase
LP15526-4	COMPONENT	Cytosol aminopeptidase
LP15527-2	COMPONENT	Dehydroepiandrosterone sulfate
LP15528-0	COMPONENT	Dehydroepiandrosterone
LP15529-8	COMPONENT	Dehydroepiandrosterone.unconjugated
LP15530-6	COMPONENT	Deoxycholate
LP15531-4	COMPONENT	Deoxycholylglycine
LP15532-2	COMPONENT	Dermatan sulfate
LP15533-0	COMPONENT	Diacetate
LP15534-8	COMPONENT	Dicarboxylate C6-C8-C10
LP15535-5	COMPONENT	Diethyl ether
LP15536-3	COMPONENT	Dihydrofolate
LP15537-1	COMPONENT	Dihydrolipoamide acetyl transferase
LP15538-9	COMPONENT	Dihydrolipoamide dehydrogenase
LP15539-7	COMPONENT	Dihydropteridine reductase
LP15540-5	COMPONENT	Dimethadione
LP15541-3	COMPONENT	Dinitrobenzene
LP15542-1	COMPONENT	Dipalmitoylphosphatidylcholine
LP15543-9	COMPONENT	DOPamine
LP15544-7	COMPONENT	Dopamine beta-hydroxylase
LP15546-2	COMPONENT	Elastase.pancreatic 2
LP15547-0	COMPONENT	Elastase.leukocyte
LP15548-8	COMPONENT	Enteroglucagon
LP15549-6	COMPONENT	Enteropeptidase
LP15550-4	COMPONENT	Enterotoxin
LP15551-2	COMPONENT	Epiandrosterone
LP15552-0	COMPONENT	Epitestosterone
LP15553-8	COMPONENT	Calciferol
LP15554-6	COMPONENT	Erythropoietin
LP15556-1	COMPONENT	Estradiol.unconjugated
LP15557-9	COMPONENT	Estriol.conjugated
LP15558-7	COMPONENT	Estriol
LP15559-5	COMPONENT	Estriol.unconjugated
LP15560-3	COMPONENT	Estrone
LP15561-1	COMPONENT	Estrone.unconjugated
LP15562-9	COMPONENT	Ethanolamine
LP15563-7	COMPONENT	Ethylmalonate
LP15564-5	COMPONENT	Etiocholanolone
LP15566-0	COMPONENT	Fatty acids.esterified
LP15567-8	COMPONENT	Fatty acids.nonesterified
LP15568-6	COMPONENT	Ferritin
LP15569-4	COMPONENT	Ferrochelatase
LP15570-2	COMPONENT	Fibrinopeptide B
LP15571-0	COMPONENT	Fibrinopeptide A
LP15572-8	COMPONENT	Enoxacin
LP15573-6	COMPONENT	Fibronectin
LP155740-6	COMPONENT	Compared to one Y ago, how would you rate your emotional problems, such as feeling anxious,depressed or irritable, now
LP155741-4	COMPONENT	Compared to one Y ago, how would you rate your physical health in general now
LP155742-2	COMPONENT	My health is excellent
LP155743-0	COMPONENT	I expect my health to get worse
LP15574-4	COMPONENT	Flavin adenine dinucleotide
LP155744-8	COMPONENT	I am as healthy as anyone I know
LP155745-5	COMPONENT	I seem to get sick a lot easier than other people
